Alexander
Amigne
Arandell
Aromella
Arvine
Assyrtiko
Bianchetta trevigiana
Black Spanish
Bluebell
Bourboulenc
Brachetto
By George
Caladoc
Caprettone
Chisago
Coda di Volpe
Diana
Esprit
Falanghina
Frontenac Blanc
Geneva Red
Godello
Golubok
Gros Manseng
Humagne Rouge
Jacquez
Jupiter
King of the North
Lambrusca di Alessandria
Loureiro
Madeleine Angevine
Madeleine Sylvaner
Marquis
Marselan
Moschofilero
Mustang
Petite Pearl
Picardan
Pinot Bianco
Plymouth
Ribolla Gialla
Rieslaner
Riverbank
Rose of Peru
Saperavi
Schönburger
Sheridan
Southern Cross
Terret Noir
Tinta Amarela
Tinta Cao
Tinta Roriz
Touriga Nacional
Vaccarèse
Valjohn
Verdejo
